Repo Name, Repo Type, Repo Href, Programming Language, Updated Time
demo3, Public, https://github.com/harry1180?tab=repositories/harry1180/demo3.git, Shell, Jun 5 2024
demo4, Public, https://github.com/harry1180?tab=repositories/harry1180/demo4.git, Python, Dec 2 2023
appsync-amplfiy-conferenceapp, Public, https://github.com/harry1180?tab=repositories/harry1180/appsync-amplfiy-conferenceapp.git, Objective-C, Jan 4 2023
python_basics, Public, https://github.com/harry1180?tab=repositories/harry1180/python_basics.git, Python, Nov 26 2021
wizard_harry, Public, https://github.com/harry1180?tab=repositories/harry1180/wizard_harry.git, Python, Jul 21 2021
personaldetails, Public, https://github.com/harry1180?tab=repositories/harry1180/personaldetails.git,  , Jul 3 2021
aws, Public, https://github.com/harry1180?tab=repositories/harry1180/aws.git, Python, Mar 8 2021
structured_data_converter, Public, https://github.com/harry1180?tab=repositories/harry1180/structured_data_converter.git, Python, Feb 22 2021
aws-ci-cd-lambda, Public, https://github.com/harry1180?tab=repositories/harry1180/aws-ci-cd-lambda.git, Python, Feb 17 2021
wafautomation, Public, https://github.com/harry1180?tab=repositories/harry1180/wafautomation.git, Python, Oct 20 2020
repo2, Public, https://github.com/harry1180?tab=repositories/harry1180/repo2.git,  , Sep 30 2020
google-search, Public, https://github.com/harry1180?tab=repositories/harry1180/google-search.git, Python, Jun 24 2020
aws-tag-management, Public, https://github.com/harry1180?tab=repositories/harry1180/aws-tag-management.git, Python, Jun 1 2020
awsdemo, Public, https://github.com/harry1180?tab=repositories/harry1180/awsdemo.git, Python, Apr 23 2020
redux-code, Public, https://github.com/harry1180?tab=repositories/harry1180/redux-code.git, JavaScript, Apr 4 2020
docs, Public, https://github.com/harry1180?tab=repositories/harry1180/docs.git,  , Mar 31 2020
demo2, Public, https://github.com/harry1180?tab=repositories/harry1180/demo2.git, Python, Mar 18 2020
aws-microservices-cloudformation, Public, https://github.com/harry1180?tab=repositories/harry1180/aws-microservices-cloudformation.git,  , Feb 6 2020
sample-resumes, Public, https://github.com/harry1180?tab=repositories/harry1180/sample-resumes.git,  , Jan 25 2020
dumm2, Public, https://github.com/harry1180?tab=repositories/harry1180/dumm2.git,  , Jan 19 2020
serverless-api-dynamodb, Public, https://github.com/harry1180?tab=repositories/harry1180/serverless-api-dynamodb.git, Python, Jan 15 2020
sagemaker, Public, https://github.com/harry1180?tab=repositories/harry1180/sagemaker.git, Python, Dec 29 2019
python-ui-tikinter, Public, https://github.com/harry1180?tab=repositories/harry1180/python-ui-tikinter.git,  , Dec 26 2019
Kaodim-test, Public, https://github.com/harry1180?tab=repositories/harry1180/Kaodim-test.git,  , Nov 27 2019
content-aws-mls-c01, Public, https://github.com/harry1180?tab=repositories/harry1180/content-aws-mls-c01.git, Jupyter Notebook, Oct 18 2019
conference-app-in-a-box, Public, https://github.com/harry1180?tab=repositories/harry1180/conference-app-in-a-box.git, JavaScript, Aug 20 2019
AWS_Lambda_Sanity_Automation, Public, https://github.com/harry1180?tab=repositories/harry1180/AWS_Lambda_Sanity_Automation.git,  , Jul 9 2019
python_webscraping, Public, https://github.com/harry1180?tab=repositories/harry1180/python_webscraping.git, Python, Jul 7 2019
dynamic-text-redaction, Public, https://github.com/harry1180?tab=repositories/harry1180/dynamic-text-redaction.git, Python, May 30 2019
raspi-aws-iot, Public, https://github.com/harry1180?tab=repositories/harry1180/raspi-aws-iot.git, Python, Jan 13 2019